Buble,ella
"Take that ribbon from your hair Shake it loose and let it fall Lay it soft against your skin Like the shadow on the wall  Come and lay down by my side Till the early morning light All I'm takin' is your time Help me make it through the night  I don't care who's right or wrong I won't try to understand Let the devil take tomorrow Lord, tonight I need a friend  Yesterday is dead and gone (yesterday is dead and gone) And tomorrow's out of sight (and tomorrow's out of sight) And it's sad to be alone Help me make it through the night  I don't care who's right or wrong I won't try to understand Let the devil take tomorrow Lord, tonight I need a friend (Lord tonight I need a friend)  Yesterday is dead and gone (it's dead and gone) But tomorrow's out of sight (but tomorrow's out of sight) And it's sad to be alone Help me make it through the night  I don't want to be alone Help me make it through the night You don't have to be alone I'll help you make it through the night","Just you, just me Let's find a cozy spot To cuddle and coo   Just us, just we I've missed an awful lot My trouble is you   Oh, gee! What are your charms for? What are my arms for? Use your imagination! Just you, just me I'll tie a lover's knot 'Round wonderful you!"
"When you're smilin' When you're smilin' The whole world, it smiles with you When you're laughin' Babe, when you're laughin' Well, the sun comes shinin' through  But when you're cryin' You know you bring on the rain Stop that sighin' Be happy again  Keep on smilin' 'Cause when you're smilin' The whole world smiles with you (Ah, let's go)  'Cause when you're cryin' You bring on the rain Stop that sighin' Be happy again  Keep on smilin' 'Cause when you're smilin' The whole world smiles with you  When you're smilin' (when you're smilin') When you're smilin' (keep on smilin') The whole world, it smiles with you When you're laughin' (keep on smilin' now) When you're laughin' (you'll get through somehow) The sun comes shinin' through (when I'm with you)  But when you're cryin' You know you bring on the rain Stop that sighin' Come on, be happy again  Keep on smilin' When you're smilin', baby The whole world, it smiles with you The whole world, it smiles with you","Maybe I can't live to love you as long as I want to. Life isn't long enough baby, but I can love you as long as I live.   Maybe I can't give you diamonds and things like I want to, But I can promise you, baby, I'm gonna want to as long as I live.   I never cared, but now I'm scared, I won't live long enough. That's why I wear my rubbers when it rains and eat an apple every  day then see the doctor anyway.   What if I can't live to love you as long as I want to. Long as I promise you, baby, I'm gonna love you as long I live.   I'll even wear long underwear, when winter breezes blow I'm gonna take good care of me because, a sneeze or two might mean the flu, And that would never never do What if I can't live to love you as long as I want to. Long as I promise you, baby, I'm gonna love you as long I live."
"It seems we've stood and talked like this before We looked at each other in the same way then But I can't remember where or when  The clothes you are wearing are the clothes you wore The smile you are smiling you were smiling then But I can't remember where or when  Some things that happened for the first time Seem to be happening again  And so it seems that we have met before And laughed before, and loved before But who knows where or when","If you ain't wrong, you're right If it ain't day, it's night If you ain't sure, you might Gotta be this or that  If it ain't dry, it's wet If you ain't got, you get If it ain't gross, it's net Gotta be this or that  If it ain't sis, you can't miss It's got to be your brother Can't you see it's gotta be One way or the other?  If it ain't full, it's blank If you don't spend, you bank If it ain't Dee, it's Frank Gotta be this or that"
"Lost and awaiting my fate I wonder Far from your shelter, far from your love Just like a lark in the midnight hour The song I'm singing is just a sigh  When you're not here the flowers don't blossom When you're not here I'm lost on an ocean And the night is long and all is silent Staring at a star that never shines When you're not here nothing seems to matter All hope is gone when you're not around Helplessly awaiting while my heart is breaking Everything's blue when you're not around  When you are near me the dawn starts glowing Bright as a morning beneath the sun Yours is a love that could move a mountain And light this laughter in your (?)  But when you're not here the flowers don't blossom When you're not here I'm lost on an ocean And the night is long and all is silent Staring at a star that never shines When you're not here nothing seems to matter All hope is gone when you're not around Helplessly awaiting while my heart is breaking Everything's blue when you're not around","My kinda love, your kinda love Keeps me believing although you're deceiving My kinda love, one way to paradise  My kinda lips, your kinda lips When love comes stealing, encourage that feeling My kinda love, one way to paradise  Although you're happy today You may be gone tomorrow Love comes but once; don't be a dunce When you need it, steal it, beg or borrow  I'm fond of you, you're fond of me Tell me you love me and hug me and squeeze me My kinda love, one way to paradise  Although you're happy today You may be gone tomorrow Love comes but once; don't be a dunce When you need it, beg or steal or borrow  I'm fond of you, you're fond of me Tell me you love me and hug me and squeeze me My kinda love, one way to paradise"
"I get no kick from champagne Mere alcohol doesn't thrill me at all Tell me why should it be true That I get a kick out of you?  Some - they may go for cocaine I'm sure that if I took even one sniff It would bore me terrifically too But I get a kick out of you  I get a kick every time I see You standing there before me I get a kick though it's clear to see You obviously do not adore me  I get no kick in a plane Flying too high with some girl in the sky Is my idea of nothing to do But I get a kick out of you  I get a kick every time I see You standing there before me I get a kick though it's clear to see You obviously do not adore me  I get no kick in a plane Flying too high with some gal in the sky Is my idea of nothing to do But I get a kick Um, you give me a boot I get a kick out of you","My mama done tol' me, when I was in knee-pants My mama done tol' me, "" Son a woman'll sweet talk"" And give ya the big eye, but when the sweet talkin's done  A woman's a two-face, A worrisome thing  Who'll leave ya to sing the blues in the night Now the rain's a-fallin', hear the train's a-callin, ""Whooee!"" (My mama done tol' me) Hear dat lonesome whistle blowin' 'cross the trestle, ""Whooee!"" (My mama done tol' me) A-whooee-ah-whooee ol' clickety-clack's a-echoin' back th' blues in the night  The evenin' breeze'll start the trees to cryin' and the moon'll hide its light  When you get the blues in the night Take my word, the mockingbird'll sing the saddest kind o' song,  He knows things are wrong and he's right  From Natchez to Mobile, from Memphis to St. Joe, wherever the four winds blow I been in some big towns an' heard me some big talk, but there is one thing I know  A woman's a two-face, a worrisome thing  Who'll leave ya to sing the blues in the night My mama was right, there's blues in"
"Just because I wander 'round the places we would go Hoping that I'd run into you one last time Just because I never took your picture off my phone Doesn't mean that you're still on my mind  Just because I accidentally slipped and said your name Well, I heard your song, it makes me insecure Just because I know I'll never ever feel the same Doesn't mean I love you anymore  Am I lying to myself again When I say you're not the best I've ever had? Am I lying to myself again When I say that I'm not missing you so bad?  Just because I'm on my knees and swearing I would change And I'd do anything to hear you say ""I'm yours"" Just because I know I'll never ever feel the same Doesn't mean I love you anymore (love, love) Uh uh  Uh uh  Am I lying to myself again When I say you're not the best I've ever had? Am I lying to myself again When I say that I'm not missing you so bad?  Just because I'm on my knees and swearing I would change And do anything to hear you say ""I'm yours"" Just because I know I'll never ever feel the same Doesn't mean I love you anymore, more Doesn't mean I love you anymore (anymore, anymore) Doesn't mean I love you anymore","Ask me how do I feel Ask me now that we're cosy and clingin' Well, sir, all I can say Is if I were a bell, I'd be ringin' From the moment we kissed tonight That's the way I've just gotta behave Boy, if I were a lamp, I'd light Or if I were a banner, I'd wave  Ask me how do I feel Little me with my quiet upbringing Well, sir, all I can say Is if I were a gate, I'd be swinging And if I were a watch I'd start popping my springs Or if I were a bell I'd go ding dong, ding dong ding  Yes, I knew my morale would crack From the wonderful way that you looked Boy, if I were a duck, I'd quack Or if I were a goose, I'd be cooked  Ask me how do I feel Ask me now that we're fondly caressing Well, if I were a salad I know I'd be splashing my dressing Or if I were a season, I'd surely be spring Or if I were a gate, I would swing Have a fling almost any old thing Or if I were a bell I'd go ding dong, ding dong Ding dong, ding dong, ding dong, ding, ding dong"
"Are the stars out tonight? I don't care if it's cloudy or bright 'Cause I only have eyes for you, dear Now the moon may be high But I can't see a thing in the sky Cause I only have eyes for you  I don't know if we're in a garden Or on a crowded avenue You are here, so am I Maybe millions of people go by But they all disappear from view And I only have eyes for you  How can I live a day without you? I need your love to see me through You're not here by my side Maybe millions of people go by But they all dissappear from view And I only have eyes I only have eyes Only have eyes for you  I only have eyes for you Are the stars out tonight? Could be cloudy or bright there Eyes so blue, kisses true I never knew","You're an old smoothie I'm an old softie I'm just like putty in the hands of a boy like You  You're an old meanie I'm a big boobie I just go nutty in the hands of a boy like you Poor me, you played me for a sap  Poor you, you thought you'd laid a trap Well dear, I think it's time you knew You've done just what I wanted you to  Silly old smoothie Crafty old softie I'll stick like putty to the hand of a boy like You"
"Just because I wander 'round the places we would go Hoping that I'd run into you one last time Just because I never took your picture off my phone Doesn't mean that you're still on my mind  Just because I accidentally slipped and said your name Well, I heard your song, it makes me insecure Just because I know I'll never ever feel the same Doesn't mean I love you anymore  Am I lying to myself again When I say you're not the best I've ever had? Am I lying to myself again When I say that I'm not missing you so bad?  Just because I'm on my knees and swearing I would change And I'd do anything to hear you say ""I'm yours"" Just because I know I'll never ever feel the same Doesn't mean I love you anymore (love, love) Uh uh  Uh uh  Am I lying to myself again When I say you're not the best I've ever had? Am I lying to myself again When I say that I'm not missing you so bad?  Just because I'm on my knees and swearing I would change And do anything to hear you say ""I'm yours"" Just because I know I'll never ever feel the same Doesn't mean I love you anymore, more Doesn't mean I love you anymore (anymore, anymore) Doesn't mean I love you anymore","If the nightingales could sing like you They'd sing much sweeter than they do For you brought a new kind of love to me  And if the sandman brought me dreams of you I'd want to sleep my whole life through You brought a new love to me  I know that I'm the slave, you're the queen Still, you can understand that underneath it all You're a man and I am only a maid  I would work and slave the whole day through If I could hurry home to you You brought a new kind of love to me"
"Hold me close and hold me fast The magic spell you cast This is La Vie En Rose  When you kiss me heaven sighs And though I close my eyes I see La Vie En Rose  When you press me to your heart (Quand il me prend dans ses bras) I'm in a world apart (Je vois la vie en rose) A world where roses bloom  And when you speak, angels sing from above Everyday words seem to turn into love songs  Give your heart and soul to me And life will always be La Vie En Rose  Quand il me prend dans ses bras Il me parle tout bas Je vois la vie en rose  (Every time you kiss me heaven sighs) Il me dit des mots d'amour (And I don't know why) Des mots de tous les jours (I close my eyes) Et ça me fait quelque chose (If only you would)  Give your heart and soul to me And life will always be La Vie En Rose  Il est entré dans mon cœur Une part de bonheur Dont je connais la cause  C'est toi pour moi, moi pour toi dans la vie Il (Elle) me l'a dit, l'a juré pour la vie  Give your heart and soul to me And life will always be La Vie En Rose","I like cake, no mistake, but, baby, if you insist I'll cut out the cake just for your sake Baby, come on and knock me a kiss  I like pie; I hope to die just to get a load of this When you get high, doggone the pie Baby, come on and knock me a kiss  When you pressed your little lips to mine It was then I understood They taste like candy, brandy, and wine Peaches, bananas, and everything good  I love jam and no flim flam; scratch that off my list This ain't no jam; the jam can scram Baby, come on and knock me a kiss  When you pressed your little lips to mine It was then I understood They taste like candy, brandy, and wine Peaches, bananas, and everything good  I like cars and big cigars, but, baby, they won't be missed If everyday I hear you say Baby, come on and knock me a kiss Baby, come on and knock me a kiss"
"My funny valentine Sweet comic valentine You make me smile with my heart Your looks are laughable, unphotographable Yet you're my favorite work of art  Is your figure less than Greek? Is your mouth a little weak? When you open it to speak Are you smart?  But don't change a hair for me Not if you care for me Stay little valentine Stay Each day is Valentine's Day  Is your figure less than Greek? Is your mouth a little weak? When you open it to speak Are you smart?  But don't change a hair for me Not if you care for me Stay little valentine Stay Each day is Valentine's Day Each day is Valentine's Day","When the rhythm gets to rockin' on the swing side And the cats condescend to lend an ear When the beatniks start to gather 'round the ringside There's a certain thing they always want to hear Seven-twenty, seven-twenty in the books  What's the tune they like the best When the jive becomes deluxe? What's the number one request? Seven-twenty in the books  When the band begins to play You should see the dirty looks If the leader doesn't say Seven-twenty in the books  It's something that you'll approve Gets you right in the groove To keep in step You really gotta be hep  Just be like the kangaroo Or the fishes in the brooks Ev'rybody's jumpin' to Seven-twenty in the books  It's something that you'll approve Gets you out of the groove To keep in step You really gotta be hep  Just be like the kangaroo Or the fishes in the brooks Ev'rybody's jumpin' to Seven-twenty in the books  Seven-twenty Seven-twenty Seven-twenty Let's keep jumpin' to seven-twenty in the books"
